��¥,����,������(mm)
2019-10-01,108,
2019-10-02,108,23.1
2019-10-03,108,4.6
2019-10-04,108,
2019-10-05,108,0.6
2019-10-06,108,
2019-10-07,108,25.4
2019-10-08,108,
2019-10-09,108,
2019-10-10,108,
2019-10-11,108,
2019-10-12,108,
2019-10-13,108,
2019-10-14,108,
2019-10-15,108,
2019-10-16,108,
2019-10-17,108,
2019-10-18,108,
2019-10-19,108,
2019-10-20,108,
2019-10-21,108,
2019-10-22,108,
2019-10-23,108,
2019-10-24,108,
2019-10-25,108,0
2019-10-26,108,
2019-10-27,108,
2019-10-28,108,1.7
2019-10-29,108,0.1
2019-10-30,108,
2019-10-31,108,
2019-11-01,108,
2019-11-02,108,
2019-11-03,108,
2019-11-04,108,
2019-11-05,108,
2019-11-06,108,
2019-11-07,108,
2019-11-08,108,
2019-11-09,108,
2019-11-10,108,11.8
2019-11-11,108,1.1
2019-11-12,108,
2019-11-13,108,7.5
2019-11-14,108,
2019-11-15,108,18.8
2019-11-16,108,
2019-11-17,108,21.1
2019-11-18,108,14.7
2019-11-19,108,0
2019-11-20,108,
2019-11-21,108,
2019-11-22,108,
2019-11-23,108,
2019-11-24,108,3.8
2019-11-25,108,
2019-11-26,108,
2019-11-27,108,
2019-11-28,108,
2019-11-29,108,
2019-11-30,108,
2019-12-01,108,3.3
2019-12-02,108,
2019-12-03,108,0.6
2019-12-04,108,0
2019-12-05,108,
2019-12-06,108,
2019-12-07,108,0.1
2019-12-08,108,
2019-12-09,108,0
2019-12-10,108,1.7
2019-12-11,108,0.2
2019-12-12,108,
2019-12-13,108,1
2019-12-14,108,0
2019-12-15,108,
2019-12-16,108,
2019-12-17,108,9.8
2019-12-18,108,
2019-12-19,108,0
2019-12-20,108,0
2019-12-21,108,0.6
2019-12-22,108,0.3
2019-12-23,108,2.9
2019-12-24,108,
2019-12-25,108,
2019-12-26,108,0.3
2019-12-27,108,
2019-12-28,108,
2019-12-29,108,1.4
2019-12-30,108,0.4
2019-12-31,108,0
2020-01-01,108,0.1
2020-01-02,108,
2020-01-03,108,
2020-01-04,108,
2020-01-05,108,
2020-01-06,108,1.8
2020-01-07,108,46.3
2020-01-08,108,11.6
2020-01-09,108,
2020-01-10,108,
2020-01-11,108,
2020-01-12,108,
2020-01-13,108,
2020-01-14,108,
2020-01-15,108,
2020-01-16,108,
2020-01-17,108,
2020-01-18,108,
2020-01-19,108,0.6
2020-01-20,108,
2020-01-21,108,
2020-01-22,108,
2020-01-23,108,
2020-01-24,108,
2020-01-25,108,
2020-01-26,108,
2020-01-27,108,0.1
2020-01-28,108,0
2020-01-29,108,
2020-01-30,108,
2020-01-31,108,0
2020-02-01,108,
2020-02-02,108,
2020-02-03,108,0
2020-02-04,108,1.7
2020-02-05,108,
2020-02-06,108,
2020-02-07,108,0
2020-02-08,108,0
2020-02-09,108,0
2020-02-10,108,0
2020-02-11,108,
2020-02-12,108,6.7
2020-02-13,108,
2020-02-14,108,
2020-02-15,108,2
2020-02-16,108,13.4
2020-02-17,108,1
2020-02-18,108,
2020-02-19,108,
2020-02-20,108,
2020-02-21,108,4.2
2020-02-22,108,3.1
2020-02-23,108,
2020-02-24,108,
2020-02-25,108,16.6
2020-02-26,108,0
2020-02-27,108,
2020-02-28,108,3.9
2020-02-29,108,0.5
2020-03-01,108,0.2
2020-03-02,108,0
2020-03-03,108,
2020-03-04,108,0
2020-03-05,108,
2020-03-06,108,
2020-03-07,108,
2020-03-08,108,
2020-03-09,108,
2020-03-10,108,11.8
2020-03-11,108,
2020-03-12,108,
2020-03-13,108,0.5
2020-03-14,108,
2020-03-15,108,
2020-03-16,108,
2020-03-17,108,
2020-03-18,108,
2020-03-19,108,0
2020-03-20,108,
2020-03-21,108,
2020-03-22,108,
2020-03-23,108,
2020-03-24,108,
2020-03-25,108,
2020-03-26,108,1.8
2020-03-27,108,2
2020-03-28,108,
2020-03-29,108,
2020-03-30,108,
2020-03-31,108,
2020-04-01,108,
2020-04-02,108,
2020-04-03,108,
2020-04-04,108,
2020-04-05,108,
2020-04-06,108,
2020-04-07,108,
2020-04-08,108,
2020-04-09,108,
2020-04-10,108,
2020-04-11,108,
2020-04-12,108,
2020-04-13,108,
2020-04-14,108,
2020-04-15,108,
2020-04-16,108,
