 format: day,hour,value location:61_128 Start : 20191001 
 1, 0000, 63.000000 
 1, 0100, 60.000000 
 1, 0200, 56.000000 
 1, 0300, 57.000000 
 1, 0400, 59.000000 
 1, 0500, 59.000000 
 1, 0600, 65.000000 
 1, 0700, 66.000000 
 1, 0800, 70.000000 
 1, 0900, 74.000000 
 1, 1000, 76.000000 
 1, 1100, 79.000000 
 1, 1200, 84.000000 
 1, 1300, 87.000000 
 1, 1400, 88.000000 
 1, 1500, 90.000000 
 1, 1600, 89.000000 
 1, 1700, 89.000000 
 1, 1800, 92.000000 
 1, 1900, 97.000000 
 1, 2000, 97.000000 
 1, 2100, 96.000000 
 1, 2200, 94.000000 
 1, 2300, 82.000000 
 2, 0000, 80.000000 
 2, 0100, 78.000000 
 2, 0200, 78.000000 
 2, 0300, 85.000000 
 2, 0400, 91.000000 
 2, 0500, 90.000000 
 2, 0600, 91.000000 
 2, 0700, 93.000000 
 2, 0800, 93.000000 
 2, 0900, 95.000000 
 2, 1000, 97.000000 
 2, 1100, 97.000000 
 2, 1200, 97.000000 
 2, 1300, 97.000000 
 2, 1400, 97.000000 
 2, 1500, 96.000000 
 2, 1600, 96.000000 
 2, 1700, 96.000000 
 2, 1800, 97.000000 
 2, 1900, 95.000000 
 2, 2000, 91.000000 
 2, 2100, 86.000000 
 2, 2200, 81.000000 
 2, 2300, 79.000000 
 3, 0000, 75.000000 
 3, 0100, 67.000000 
 3, 0200, 66.000000 
 3, 0300, 61.000000 
 3, 0400, 61.000000 
 3, 0500, 60.000000 
 3, 0600, 57.000000 
 3, 0700, 57.000000 
 3, 0800, 69.000000 
 3, 0900, 78.000000 
 3, 1000, 71.000000 
 3, 1100, 77.000000 
 3, 1200, 81.000000 
 3, 1300, 83.000000 
 3, 1400, 82.000000 
 3, 1500, 86.000000 
 3, 1600, 87.000000 
 3, 1700, 89.000000 
 3, 1800, 90.000000 
 3, 1900, 90.000000 
 3, 2000, 91.000000 
 3, 2100, 90.000000 
 3, 2200, 82.000000 
 3, 2300, 76.000000 
 4, 0000, 70.000000 
 4, 0100, 66.000000 
 4, 0200, 62.000000 
 4, 0300, 62.000000 
 4, 0400, 64.000000 
 4, 0500, 63.000000 
 4, 0600, 67.000000 
 4, 0700, 67.000000 
 4, 0800, 72.000000 
 4, 0900, 74.000000 
 4, 1000, 78.000000 
 4, 1100, 84.000000 
 4, 1200, 86.000000 
 4, 1300, 88.000000 
 4, 1400, 87.000000 
 4, 1500, 87.000000 
 4, 1600, 87.000000 
 4, 1700, 87.000000 
 4, 1800, 86.000000 
 4, 1900, 88.000000 
 4, 2000, 88.000000 
 4, 2100, 88.000000 
 4, 2200, 91.000000 
 4, 2300, 91.000000 
 5, 0000, 82.000000 
 5, 0100, 89.000000 
 5, 0200, 86.000000 
 5, 0300, 77.000000 
 5, 0400, 76.000000 
 5, 0500, 78.000000 
 5, 0600, 77.000000 
 5, 0700, 74.000000 
 5, 0800, 68.000000 
 5, 0900, 68.000000 
 5, 1000, 72.000000 
 5, 1100, 73.000000 
 5, 1200, 73.000000 
 5, 1300, 75.000000 
 5, 1400, 77.000000 
 5, 1500, 77.000000 
 5, 1600, 77.000000 
 5, 1700, 74.000000 
 5, 1800, 75.000000 
 5, 1900, 78.000000 
 5, 2000, 78.000000 
 5, 2100, 73.000000 
 5, 2200, 60.000000 
 5, 2300, 52.000000 
 6, 0000, 51.000000 
 6, 0100, 49.000000 
 6, 0200, 50.000000 
 6, 0300, 49.000000 
 6, 0400, 48.000000 
 6, 0500, 50.000000 
 6, 0600, 51.000000 
 6, 0700, 54.000000 
 6, 0800, 57.000000 
 6, 0900, 59.000000 
 6, 1000, 67.000000 
 6, 1100, 69.000000 
 6, 1200, 64.000000 
 6, 1300, 69.000000 
 6, 1400, 72.000000 
 6, 1500, 72.000000 
 6, 1600, 74.000000 
 6, 1700, 73.000000 
 6, 1800, 92.000000 
 6, 1900, 94.000000 
 6, 2000, 93.000000 
 6, 2100, 93.000000 
 6, 2200, 96.000000 
 6, 2300, 97.000000 
 7, 0000, 97.000000 
 7, 0100, 97.000000 
 7, 0200, 97.000000 
 7, 0300, 97.000000 
 7, 0400, 97.000000 
 7, 0500, 97.000000 
 7, 0600, 97.000000 
 7, 0700, 97.000000 
 7, 0800, 97.000000 
 7, 0900, 96.000000 
 7, 1000, 94.000000 
 7, 1100, 91.000000 
 7, 1200, 92.000000 
 7, 1300, 92.000000 
 7, 1400, 91.000000 
 7, 1500, 90.000000 
 7, 1600, 90.000000 
 7, 1700, 93.000000 
 7, 1800, 93.000000 
 7, 1900, 82.000000 
 7, 2000, 84.000000 
 7, 2100, 92.000000 
 7, 2200, 90.000000 
 7, 2300, 78.000000 
 8, 0000, 70.000000 
 8, 0100, 58.000000 
 8, 0200, 48.000000 
 8, 0300, 29.000000 
 8, 0400, 31.000000 
 8, 0500, 32.000000 
 8, 0600, 29.000000 
 8, 0700, 34.000000 
 8, 0800, 35.000000 
 8, 0900, 35.000000 
 8, 1000, 39.000000 
 8, 1100, 45.000000 
 8, 1200, 50.000000 
 8, 1300, 49.000000 
 8, 1400, 48.000000 
 8, 1500, 61.000000 
 8, 1600, 64.000000 
 8, 1700, 68.000000 
 8, 1800, 74.000000 
 8, 1900, 73.000000 
 8, 2000, 78.000000 
 8, 2100, 79.000000 
 8, 2200, 79.000000 
 8, 2300, 58.000000 
 9, 0000, 48.000000 
 9, 0100, 42.000000 
 9, 0200, 36.000000 
 9, 0300, 29.000000 
 9, 0400, 32.000000 
 9, 0500, 31.000000 
 9, 0600, 36.000000 
 9, 0700, 37.000000 
 9, 0800, 43.000000 
 9, 0900, 42.000000 
 9, 1000, 51.000000 
 9, 1100, 59.000000 
 9, 1200, 60.000000 
 9, 1300, 64.000000 
 9, 1400, 67.000000 
 9, 1500, 71.000000 
 9, 1600, 73.000000 
 9, 1700, 74.000000 
 9, 1800, 76.000000 
 9, 1900, 76.000000 
 9, 2000, 77.000000 
 9, 2100, 77.000000 
 9, 2200, 71.000000 
 9, 2300, 68.000000 
 10, 0000, 60.000000 
 10, 0100, 62.000000 
 10, 0200, 58.000000 
 10, 0300, 50.000000 
 10, 0400, 50.000000 
 10, 0500, 53.000000 
 10, 0600, 53.000000 
 10, 0700, 57.000000 
 10, 0800, 67.000000 
 10, 0900, 70.000000 
 10, 1000, 73.000000 
 10, 1100, 76.000000 
 10, 1200, 77.000000 
 10, 1300, 83.000000 
 10, 1400, 80.000000 
 10, 1500, 83.000000 
 10, 1600, 87.000000 
 10, 1700, 91.000000 
 10, 1800, 89.000000 
 10, 1900, 91.000000 
 10, 2000, 93.000000 
 10, 2100, 92.000000 
 10, 2200, 86.000000 
 10, 2300, 78.000000 
 11, 0000, 71.000000 
 11, 0100, 65.000000 
 11, 0200, 59.000000 
 11, 0300, 51.000000 
 11, 0400, 45.000000 
 11, 0500, 42.000000 
 11, 0600, 45.000000 
 11, 0700, 50.000000 
 11, 0800, 55.000000 
 11, 0900, 59.000000 
 11, 1000, 61.000000 
 11, 1100, 59.000000 
 11, 1200, 61.000000 
 11, 1300, 65.000000 
 11, 1400, 65.000000 
 11, 1500, 65.000000 
 11, 1600, 69.000000 
 11, 1700, 64.000000 
 11, 1800, 63.000000 
 11, 1900, 68.000000 
 11, 2000, 66.000000 
 11, 2100, 64.000000 
 11, 2200, 56.000000 
 11, 2300, 54.000000 
 12, 0000, 45.000000 
 12, 0100, 43.000000 
 12, 0200, 42.000000 
 12, 0300, 43.000000 
 12, 0400, 44.000000 
 12, 0500, 46.000000 
 12, 0600, 46.000000 
 12, 0700, 48.000000 
 12, 0800, 52.000000 
 12, 0900, 53.000000 
 12, 1000, 54.000000 
 12, 1100, 55.000000 
 12, 1200, 59.000000 
 12, 1300, 63.000000 
 12, 1400, 68.000000 
 12, 1500, 68.000000 
 12, 1600, 71.000000 
 12, 1700, 76.000000 
 12, 1800, 77.000000 
 12, 1900, 79.000000 
 12, 2000, 79.000000 
 12, 2100, 76.000000 
 12, 2200, 69.000000 
 12, 2300, 60.000000 
 13, 0000, 55.000000 
 13, 0100, 50.000000 
 13, 0200, 49.000000 
 13, 0300, 47.000000 
 13, 0400, 43.000000 
 13, 0500, 42.000000 
 13, 0600, 42.000000 
 13, 0700, 47.000000 
 13, 0800, 58.000000 
 13, 0900, 62.000000 
 13, 1000, 65.000000 
 13, 1100, 65.000000 
