 format: day,hour,value location:61_128 Start : 20191001 
 1, 0000, 29.000000 
 1, 0100, 183.000000 
 1, 0200, 122.000000 
 1, 0300, 64.000000 
 1, 0400, 127.000000 
 1, 0500, 63.000000 
 1, 0600, 83.000000 
 1, 0700, 77.000000 
 1, 0800, 121.000000 
 1, 0900, 117.000000 
 1, 1000, 190.000000 
 1, 1100, 224.000000 
 1, 1200, 335.000000 
 1, 1300, 328.000000 
 1, 1400, 332.000000 
 1, 1500, 325.000000 
 1, 1600, 7.000000 
 1, 1700, 235.000000 
 1, 1800, 162.000000 
 1, 1900, 320.000000 
 1, 2000, 295.000000 
 1, 2100, 284.000000 
 1, 2200, 336.000000 
 1, 2300, 125.000000 
 2, 0000, 88.000000 
 2, 0100, 144.000000 
 2, 0200, 125.000000 
 2, 0300, 81.000000 
 2, 0400, 50.000000 
 2, 0500, 30.000000 
 2, 0600, 51.000000 
 2, 0700, 84.000000 
 2, 0800, 17.000000 
 2, 0900, 348.000000 
 2, 1000, 357.000000 
 2, 1100, 332.000000 
 2, 1200, 7.000000 
 2, 1300, 13.000000 
 2, 1400, 15.000000 
 2, 1500, 347.000000 
 2, 1600, 356.000000 
 2, 1700, 2.000000 
 2, 1800, 26.000000 
 2, 1900, 16.000000 
 2, 2000, 351.000000 
 2, 2100, 338.000000 
 2, 2200, 355.000000 
 2, 2300, 347.000000 
 3, 0000, 342.000000 
 3, 0100, 331.000000 
 3, 0200, 353.000000 
 3, 0300, 18.000000 
 3, 0400, 34.000000 
 3, 0500, 25.000000 
 3, 0600, 15.000000 
 3, 0700, 10.000000 
 3, 0800, 5.000000 
 3, 0900, 337.000000 
 3, 1000, 319.000000 
 3, 1100, 347.000000 
 3, 1200, 286.000000 
 3, 1300, 337.000000 
 3, 1400, 319.000000 
 3, 1500, 337.000000 
 3, 1600, 330.000000 
 3, 1700, 313.000000 
 3, 1800, 324.000000 
 3, 1900, 327.000000 
 3, 2000, 265.000000 
 3, 2100, 41.000000 
 3, 2200, 71.000000 
 3, 2300, 93.000000 
 4, 0000, 109.000000 
 4, 0100, 83.000000 
 4, 0200, 198.000000 
 4, 0300, 193.000000 
 4, 0400, 226.000000 
 4, 0500, 246.000000 
 4, 0600, 255.000000 
 4, 0700, 275.000000 
 4, 0800, 234.000000 
 4, 0900, 290.000000 
 4, 1000, 304.000000 
 4, 1100, 209.000000 
 4, 1200, 205.000000 
 4, 1300, 211.000000 
 4, 1400, 228.000000 
 4, 1500, 211.000000 
 4, 1600, 216.000000 
 4, 1700, 247.000000 
 4, 1800, 231.000000 
 4, 1900, 187.000000 
 4, 2000, 244.000000 
 4, 2100, 227.000000 
 4, 2200, 259.000000 
 4, 2300, 35.000000 
 5, 0000, 33.000000 
 5, 0100, 302.000000 
 5, 0200, 357.000000 
 5, 0300, 39.000000 
 5, 0400, 354.000000 
 5, 0500, 17.000000 
 5, 0600, 15.000000 
 5, 0700, 24.000000 
 5, 0800, 53.000000 
 5, 0900, 53.000000 
 5, 1000, 7.000000 
 5, 1100, 12.000000 
 5, 1200, 24.000000 
 5, 1300, 11.000000 
 5, 1400, 333.000000 
 5, 1500, 323.000000 
 5, 1600, 344.000000 
 5, 1700, 353.000000 
 5, 1800, 7.000000 
 5, 1900, 329.000000 
 5, 2000, 340.000000 
 5, 2100, 327.000000 
 5, 2200, 356.000000 
 5, 2300, 41.000000 
 6, 0000, 76.000000 
 6, 0100, 119.000000 
 6, 0200, 90.000000 
 6, 0300, 105.000000 
 6, 0400, 113.000000 
 6, 0500, 116.000000 
 6, 0600, 73.000000 
 6, 0700, 86.000000 
 6, 0800, 99.000000 
 6, 0900, 76.000000 
 6, 1000, 319.000000 
 6, 1100, 326.000000 
 6, 1200, 137.000000 
 6, 1300, 95.000000 
 6, 1400, 77.000000 
 6, 1500, 119.000000 
 6, 1600, 53.000000 
 6, 1700, 150.000000 
 6, 1800, 358.000000 
 6, 1900, 312.000000 
 6, 2000, 308.000000 
 6, 2100, 75.000000 
 6, 2200, 93.000000 
 6, 2300, 96.000000 
 7, 0000, 52.000000 
 7, 0100, 121.000000 
 7, 0200, 86.000000 
 7, 0300, 91.000000 
 7, 0400, 105.000000 
 7, 0500, 103.000000 
 7, 0600, 348.000000 
 7, 0700, 20.000000 
 7, 0800, 322.000000 
 7, 0900, 338.000000 
 7, 1000, 341.000000 
 7, 1100, 29.000000 
 7, 1200, 358.000000 
 7, 1300, 22.000000 
 7, 1400, 306.000000 
 7, 1500, 157.000000 
 7, 1600, 42.000000 
 7, 1700, 116.000000 
 7, 1800, 89.000000 
 7, 1900, 295.000000 
 7, 2000, 288.000000 
 7, 2100, 308.000000 
 7, 2200, 110.000000 
 7, 2300, 288.000000 
 8, 0000, 311.000000 
 8, 0100, 316.000000 
 8, 0200, 320.000000 
 8, 0300, 307.000000 
 8, 0400, 304.000000 
 8, 0500, 310.000000 
 8, 0600, 314.000000 
 8, 0700, 296.000000 
 8, 0800, 273.000000 
 8, 0900, 312.000000 
 8, 1000, 321.000000 
 8, 1100, 7.000000 
 8, 1200, 335.000000 
 8, 1300, 50.000000 
 8, 1400, 61.000000 
 8, 1500, 307.000000 
 8, 1600, 309.000000 
 8, 1700, 343.000000 
 8, 1800, 327.000000 
 8, 1900, 316.000000 
 8, 2000, 5.000000 
 8, 2100, 351.000000 
 8, 2200, 7.000000 
 8, 2300, 86.000000 
 9, 0000, 101.000000 
 9, 0100, 64.000000 
 9, 0200, 132.000000 
 9, 0300, 277.000000 
 9, 0400, 268.000000 
 9, 0500, 264.000000 
 9, 0600, 267.000000 
 9, 0700, 283.000000 
 9, 0800, 3.000000 
 9, 0900, 352.000000 
 9, 1000, 355.000000 
 9, 1100, 23.000000 
 9, 1200, 1.000000 
 9, 1300, 356.000000 
 9, 1400, 2.000000 
 9, 1500, 336.000000 
 9, 1600, 350.000000 
 9, 1700, 354.000000 
 9, 1800, 348.000000 
 9, 1900, 351.000000 
 9, 2000, 352.000000 
 9, 2100, 309.000000 
 9, 2200, 6.000000 
 9, 2300, 334.000000 
 10, 0000, 313.000000 
 10, 0100, 287.000000 
 10, 0200, 100.000000 
 10, 0300, 22.000000 
 10, 0400, 123.000000 
 10, 0500, 7.000000 
 10, 0600, 35.000000 
 10, 0700, 310.000000 
 10, 0800, 318.000000 
 10, 0900, 350.000000 
 10, 1000, 333.000000 
 10, 1100, 5.000000 
 10, 1200, 317.000000 
 10, 1300, 340.000000 
 10, 1400, 305.000000 
 10, 1500, 346.000000 
 10, 1600, 358.000000 
 10, 1700, 5.000000 
 10, 1800, 316.000000 
 10, 1900, 305.000000 
 10, 2000, 321.000000 
 10, 2100, 22.000000 
 10, 2200, 327.000000 
 10, 2300, 35.000000 
