companyID,jobID,companySize
00411460f7c92d2124a67ea0f4cb5f85,e5f6ad6ce374177eef023bf5d0c018b6,
1905aedab9bf2477edc068a355bba31a,185e65bc40581880c4f2c82958de8cfe,11-50
89fcd07f20b6785b92134bd6c1d0fa42,0537fb40a68c18da59a35c2bfe1ca554,101-200
acf4b89d3d503d8252c9c4ba75ddbf6d,b7ee6f5f9aa5cd17ca1aea43ce848496,1-10
fb7b9ffa5462084c5f4e7e85a093e6d7,efe937780e95574250dabe07151bdc23,
ac627ab1ccbdb62ec96e702f07f6425b,a1140a3d0df1c81e24ae954d935e8926,51-100
9ad6aaed513b73148b7d49f70afcfb32,eb86d510361fc23b59f18c1bc9802cc6,11-50
d707329bece455a462b58ce00d1194c9,3a835d3215755c435ef4fe9965a3f2a0,11-50
884d79963bd8bc0ae9b13a1aa71add73,3b5dca501ee1e6d8cd7b905f4e1bf723,11-50
2e65f2f2fdaf6c699b223c61b1b5ab89,b534ba68236ba543ae44b22bd110a1d6,1-10
217eedd1ba8c592db97d0dbe54c7adfc,c8ed21db4f678f3b13b9d5ee16489088,1-10
3b5dca501ee1e6d8cd7b905f4e1bf723,ccb0989662211f61edae2e26d58ea92f,11-50
fa14d4fe2f19414de3ebd9f63d5c0169,5737034557ef5b8c02c0e46513b98f90,11-50
6c4b761a28b734fe93831e3fb400ce87,dd77279f7d325eec933f05b1672f6a1f,
8fecb20817b3847419bb3de39a609afe,f74909ace68e51891440e4da0b65a70c,51-100
d34ab169b70c9dcd35e62896010cd9ff,847cc55b7032108eee6dd897f3bca8a5,51-100
66808e327dc79d135ba18e051673d906,3dd48ab31d016ffcbf3314df2b3cb9ce,
b5dc4e5d9b495d0196f61d45b26ef33e,8e82ab7243b7c66d768f1b8ce1c967eb,51-100
64223ccf70bbb65a3a4aceac37e21016,b137fdd1f79d56c7edf3365fea7520f2,1-10
a368b0de8b91cfb3f91892fbf1ebd4b2,38ca89564b2259401518960f7a06f94b,11-50
c4851e8e264415c4094e4e85b0baa7cc,53adaf494dc89ef7196d73636eb2451b,101-200
cdc0d6e63aa8e41c89689f54970bb35f,443cb001c138b2561a0d90720d6ce111,51-100
6c4b761a28b734fe93831e3fb400ce87,7f24d240521d99071c93af3917215ef7,
c5ab0bc60ac7929182aadd08703f1ec6,f9b902fc3289af4dd08de5d1de54f68f,
e0cf1f47118daebc5b16269099ad7347,19bc916108fc6938f52cb96f7e087941,11-50
c45147dee729311ef5b5c3003946c48f,cd00692c3bfe59267d5ecfac5310286c,
c058f544c737782deacefa532d9add4c,d490d7b4576290fa60eb31b5fc917ad1,101-200
0d7de1aca9299fe63f3e0041f02638a3,4f4adcbf8c6f66dcfc8a3282ac2bf10a,
495dabfd0ca768a3c3abd672079f48b6,2f29b6e3abc6ebdefb55456ea6ca5dc8,11-50
eddea82ad2755b24c4e168c5fc2ebd40,1e48c4420b7073bc11916c6c1de226bb,11-50
3328bdf9a4b9504b9398284244fe97c2,faa9afea49ef2ff029a833cccc778fd0,1000 이상
4b04a686b0ad13dce35fa99fa4161c65,46072631582fc240dd2674a7d063b040,11-50
